index,Tarih,Şimdi,Açılış,Yüksek,Düşük,Fark %
417,15.03.2017,3.6754,3.7426,3.7484,3.6714,-1.80%
416,16.03.2017,3.6256,3.6769,3.6942,3.6115,-1.35%
415,17.03.2017,3.6344,3.6264,3.6458,3.598,0.24%
414,20.03.2017,3.616,3.6344,3.6389,3.614,-0.51%
413,21.03.2017,3.6329,3.6161,3.6388,3.587,0.47%
412,22.03.2017,3.6184,3.632,3.6447,3.604,-0.40%
411,23.03.2017,3.6348,3.6184,3.641,3.605,0.45%
410,24.03.2017,3.6108,3.6343,3.6387,3.5969,-0.66%
409,27.03.2017,3.6166,3.6072,3.6254,3.5847,0.16%
408,28.03.2017,3.6582,3.6173,3.6643,3.6063,1.15%
407,29.03.2017,3.6459,3.6586,3.6623,3.6373,-0.34%
406,30.03.2017,3.652,3.6454,3.6546,3.624,0.17%
405,31.03.2017,3.6352,3.6515,3.6578,3.624,-0.46%
404,03.04.2017,3.6449,3.6347,3.651,3.621,0.27%
403,04.04.2017,3.679,3.6456,3.6905,3.6367,0.94%
402,05.04.2017,3.6991,3.6797,3.7121,3.6668,0.55%
401,06.04.2017,3.7111,3.699,3.7293,3.6938,0.32%
400,07.04.2017,3.7299,3.7111,3.7447,3.7054,0.51%
399,10.04.2017,3.7294,3.733,3.7378,3.7128,-0.01%
398,11.04.2017,3.6972,3.7289,3.7333,3.6949,-0.86%
397,12.04.2017,3.6492,3.6971,3.7043,3.6458,-1.30%
396,13.04.2017,3.6633,3.6474,3.679,3.6397,0.39%
395,14.04.2017,3.7327,3.6641,3.7376,3.6597,1.89%
394,17.04.2017,3.7011,3.633,3.7172,3.627,-0.85%
393,18.04.2017,3.6608,3.7024,3.7142,3.653,-1.09%
392,19.04.2017,3.673,3.6609,3.6852,3.6529,0.33%
391,20.04.2017,3.6415,3.6732,3.6776,3.6262,-0.86%
390,21.04.2017,3.6401,3.6407,3.6556,3.629,-0.04%
389,24.04.2017,3.573,3.6411,3.6411,3.5702,-1.84%
388,25.04.2017,3.5797,3.5717,3.6047,3.569,0.19%
387,26.04.2017,3.5783,3.5792,3.5991,3.5595,-0.04%
386,27.04.2017,3.5612,3.5776,3.5789,3.554,-0.48%
385,28.04.2017,3.5516,3.5607,3.5728,3.535,-0.27%
384,01.05.2017,3.5545,3.5516,3.5585,3.5465,0.08%
383,02.05.2017,3.5273,3.5544,3.5565,3.5173,-0.77%
382,03.05.2017,3.5349,3.5268,3.5411,3.5176,0.22%
381,04.05.2017,3.554,3.5356,3.5692,3.5258,0.54%
380,05.05.2017,3.5441,3.5535,3.5782,3.5402,-0.28%
379,08.05.2017,3.5851,3.5364,3.596,3.527,1.16%
378,09.05.2017,3.6239,3.5852,3.6261,3.5796,1.08%
377,10.05.2017,3.5874,3.6238,3.6287,3.579,-1.01%
376,11.05.2017,3.5758,3.5863,3.593,3.564,-0.32%
375,12.05.2017,3.5731,3.5753,3.5993,3.563,-0.08%
374,15.05.2017,3.5483,3.5712,3.5747,3.5458,-0.69%
373,16.05.2017,3.5392,3.5472,3.5638,3.534,-0.26%
372,17.05.2017,3.5681,3.5391,3.5727,3.5363,0.82%
371,18.05.2017,3.6251,3.5688,3.6423,3.5666,1.60%
370,19.05.2017,3.5753,3.6236,3.6324,3.5647,-1.37%
369,22.05.2017,3.5593,3.5764,3.5945,3.5482,-0.45%
368,23.05.2017,3.5704,3.5603,3.5802,3.5535,0.31%
367,24.05.2017,3.5604,3.5694,3.5802,3.554,-0.28%
366,25.05.2017,3.5667,3.5603,3.576,3.545,0.18%
365,26.05.2017,3.5777,3.5663,3.5857,3.5595,0.31%
364,29.05.2017,3.5772,3.5804,3.5865,3.5726,-0.01%
363,30.05.2017,3.5491,3.5726,3.589,3.5387,-0.79%
362,31.05.2017,3.527,3.5495,3.56,3.524,-0.62%
361,01.06.2017,3.5246,3.5278,3.5446,3.521,-0.07%
360,02.06.2017,3.5098,3.5246,3.5395,3.5017,-0.42%
359,05.06.2017,3.5237,3.5083,3.534,3.4935,0.40%
358,06.06.2017,3.5151,3.5232,3.5438,3.5105,-0.24%
357,07.06.2017,3.5503,3.5152,3.5587,3.506,1.00%
356,08.06.2017,3.5244,3.5465,3.557,3.518,-0.73%
355,09.06.2017,3.5373,3.5236,3.5443,3.515,0.37%
354,12.06.2017,3.5164,3.5368,3.5407,3.5085,-0.59%
353,13.06.2017,3.5198,3.5168,3.5343,3.5065,0.10%
352,14.06.2017,3.4878,3.5188,3.5238,3.4733,-0.91%
351,15.06.2017,3.513,3.4876,3.5256,3.4811,0.72%
350,16.06.2017,3.5027,3.5125,3.5327,3.494,-0.29%
349,19.06.2017,3.5228,3.5025,3.5259,3.4835,0.57%
348,20.06.2017,3.5444,3.5225,3.5514,3.5101,0.61%
347,21.06.2017,3.531,3.541,3.5492,3.52,-0.38%
346,22.06.2017,3.5077,3.5306,3.5329,3.502,-0.66%
345,23.06.2017,3.5088,3.5084,3.5161,3.4957,0.03%
344,26.06.2017,3.5008,3.5089,3.5125,3.4897,-0.23%
343,27.06.2017,3.5263,3.5011,3.5278,3.4903,0.73%
342,28.06.2017,3.5128,3.5261,3.539,3.5084,-0.38%
341,29.06.2017,3.5265,3.5137,3.5395,3.498,0.39%
340,30.06.2017,3.5212,3.5255,3.534,3.5047,-0.15%
339,03.07.2017,3.5571,3.5206,3.5673,3.511,1.02%
338,04.07.2017,3.5594,3.5566,3.57,3.543,0.06%
337,05.07.2017,3.6062,3.5589,3.6173,3.548,1.31%
336,06.07.2017,3.6212,3.6069,3.6416,3.6008,0.42%
335,07.07.2017,3.6182,3.6189,3.6474,3.6079,-0.08%
334,10.07.2017,3.6083,3.6166,3.6248,3.5985,-0.27%
333,11.07.2017,3.6139,3.6088,3.6452,3.6042,0.16%
332,12.07.2017,3.5672,3.6133,3.6234,3.5632,-1.29%
331,13.07.2017,3.5657,3.5663,3.5779,3.5569,-0.04%
330,14.07.2017,3.5381,3.565,3.572,3.5249,-0.77%
329,17.07.2017,3.5284,3.5379,3.5525,3.522,-0.27%
328,18.07.2017,3.5231,3.5281,3.5382,3.5181,-0.15%
327,19.07.2017,3.522,3.5223,3.5405,3.509,-0.03%
326,20.07.2017,3.5264,3.522,3.5453,3.5175,0.12%
325,21.07.2017,3.5364,3.5263,3.5434,3.5187,0.28%
324,24.07.2017,3.5567,3.5369,3.5715,3.5236,0.57%
323,25.07.2017,3.5724,3.5566,3.5768,3.547,0.44%
322,26.07.2017,3.5385,3.5734,3.5787,3.5325,-0.95%
321,27.07.2017,3.5363,3.5368,3.544,3.516,-0.06%
320,28.07.2017,3.5279,3.5351,3.5416,3.5224,-0.24%
319,31.07.2017,3.5193,3.5291,3.538,3.514,-0.24%
318,01.08.2017,3.5271,3.5198,3.5322,3.508,0.22%
317,02.08.2017,3.5305,3.5281,3.543,3.5225,0.10%
316,03.08.2017,3.5396,3.533,3.5488,3.528,0.26%
315,04.08.2017,3.528,3.5391,3.544,3.5231,-0.33%
314,07.08.2017,3.5291,3.5281,3.5381,3.52,0.03%
313,08.08.2017,3.5338,3.5288,3.5353,3.5232,0.13%
312,09.08.2017,3.5376,3.533,3.5499,3.5267,0.11%
311,10.08.2017,3.5418,3.5373,3.5453,3.5242,0.12%
310,11.08.2017,3.5369,3.5417,3.5596,3.5296,-0.14%
309,14.08.2017,3.5257,3.5396,3.5397,3.5174,-0.32%
308,15.08.2017,3.5352,3.525,3.5489,3.5166,0.27%
307,16.08.2017,3.5156,3.5369,3.5417,3.5141,-0.55%
306,17.08.2017,3.5254,3.5159,3.5299,3.5103,0.28%
305,18.08.2017,3.5185,3.5251,3.5327,3.508,-0.20%
304,21.08.2017,3.497,3.5136,3.5259,3.4899,-0.61%
303,22.08.2017,3.4944,3.4955,3.506,3.488,-0.07%
302,23.08.2017,3.4787,3.4935,3.5044,3.4748,-0.45%
301,24.08.2017,3.4838,3.4756,3.4876,3.4726,0.15%
300,25.08.2017,3.4389,3.4837,3.4914,3.4331,-1.29%
299,28.08.2017,3.4441,3.4381,3.454,3.434,0.15%
298,29.08.2017,3.4465,3.4439,3.459,3.431,0.07%
297,30.08.2017,3.4517,3.4459,3.4639,3.4369,0.15%
296,31.08.2017,3.4527,3.4517,3.4733,3.4422,0.03%
295,01.09.2017,3.4284,3.45,3.4546,3.4132,-0.70%
294,04.09.2017,3.4348,3.4263,3.4411,3.4206,0.19%
293,05.09.2017,3.4375,3.4342,3.4535,3.4224,0.08%
292,06.09.2017,3.4257,3.434,3.4505,3.4195,-0.34%
291,07.09.2017,3.4045,3.4273,3.4356,3.4011,-0.62%
290,08.09.2017,3.4117,3.4038,3.4226,3.3944,0.21%
289,11.09.2017,3.406,3.4117,3.415,3.3845,-0.17%
288,12.09.2017,3.4331,3.4059,3.445,3.4012,0.80%
287,13.09.2017,3.4579,3.4325,3.4629,3.4215,0.72%
286,14.09.2017,3.4331,3.4578,3.478,3.4285,-0.72%
285,15.09.2017,3.4376,3.4326,3.4447,3.4189,0.13%
284,18.09.2017,3.4895,3.4398,3.5008,3.4289,1.51%
283,19.09.2017,3.4887,3.4899,3.5074,3.4767,-0.02%
282,20.09.2017,3.503,3.4896,3.5198,3.4644,0.41%
281,21.09.2017,3.5023,3.5035,3.521,3.4935,-0.02%
280,22.09.2017,3.4962,3.5029,3.509,3.4775,-0.17%
279,25.09.2017,3.5494,3.492,3.553,3.492,1.52%
278,26.09.2017,3.5424,3.5499,3.5586,3.5225,-0.20%
277,27.09.2017,3.5774,3.5375,3.587,3.5355,0.99%
276,28.09.2017,3.5603,3.5789,3.599,3.555,-0.48%
275,29.09.2017,3.5637,3.558,3.5671,3.5369,0.10%
274,02.10.2017,3.5635,3.5654,3.5882,3.562,-0.01%
273,03.10.2017,3.5718,3.5645,3.596,3.5631,0.23%
272,04.10.2017,3.5723,3.5714,3.58,3.5575,0.01%
271,05.10.2017,3.5836,3.5718,3.5891,3.5618,0.32%
270,06.10.2017,3.6149,3.5831,3.638,3.5782,0.87%
269,09.10.2017,3.7011,3.6157,3.7704,3.6157,2.38%
268,10.10.2017,3.7114,3.7006,3.7129,3.6585,0.28%
267,11.10.2017,3.6484,3.709,3.7131,3.6425,-1.70%
266,12.10.2017,3.654,3.65,3.6721,3.628,0.15%
265,13.10.2017,3.6349,3.6543,3.6637,3.6215,-0.52%
264,16.10.2017,3.6463,3.6303,3.6526,3.6279,0.31%
263,17.10.2017,3.6663,3.6477,3.6919,3.644,0.55%
262,18.10.2017,3.6768,3.6665,3.688,3.6602,0.29%
261,19.10.2017,3.6456,3.6791,3.6814,3.6423,-0.85%
260,20.10.2017,3.6714,3.6454,3.684,3.6438,0.71%
259,23.10.2017,3.7163,3.6709,3.723,3.6707,1.22%
258,24.10.2017,3.7414,3.7158,3.7593,3.7011,0.68%
257,25.10.2017,3.7668,3.7421,3.8082,3.7167,0.68%
256,26.10.2017,3.8203,3.7667,3.8353,3.7489,1.42%
255,27.10.2017,3.7885,3.8198,3.8432,3.783,-0.83%
254,30.10.2017,3.7798,3.791,3.7948,3.761,-0.23%
253,31.10.2017,3.792,3.7793,3.8151,3.762,0.32%
252,01.11.2017,3.813,3.7917,3.834,3.783,0.55%
251,02.11.2017,3.7975,3.8122,3.827,3.7894,-0.41%
250,03.11.2017,3.8864,3.7973,3.8899,3.7944,2.34%
249,06.11.2017,3.828,3.8825,3.8904,3.8205,-1.50%
248,07.11.2017,3.8844,3.8278,3.8966,3.8235,1.47%
247,08.11.2017,3.8665,3.8851,3.902,3.8549,-0.46%
246,09.11.2017,3.8647,3.8677,3.8824,3.8367,-0.05%
245,10.11.2017,3.8636,3.8611,3.8817,3.8451,-0.03%
244,13.11.2017,3.8706,3.8602,3.8892,3.846,0.18%
243,14.11.2017,3.886,3.8685,3.9109,3.8577,0.40%
242,15.11.2017,3.8811,3.8852,3.9015,3.869,-0.13%
241,16.11.2017,3.8629,3.8808,3.8891,3.8485,-0.47%
240,17.11.2017,3.8773,3.8647,3.9055,3.8512,0.37%
239,20.11.2017,3.9285,3.8771,3.9301,3.8537,1.32%
238,21.11.2017,3.9566,3.9289,3.9778,3.918,0.72%
237,22.11.2017,3.9184,3.9548,3.9825,3.9115,-0.97%
236,23.11.2017,3.9201,3.9179,3.9475,3.896,0.04%
235,24.11.2017,3.9437,3.92,3.9576,3.909,0.60%
234,27.11.2017,3.9062,3.9498,3.9562,3.8875,-0.95%
233,28.11.2017,3.9645,3.9059,3.9736,3.9017,1.49%
232,29.11.2017,3.9613,3.9641,3.9737,3.94,-0.08%
231,30.11.2017,3.919,3.9618,3.9626,3.903,-1.07%
230,01.12.2017,3.9131,3.9179,3.9476,3.9059,-0.15%
229,04.12.2017,3.8742,3.9162,3.9466,3.8622,-0.99%
228,05.12.2017,3.8444,3.8742,3.8801,3.8375,-0.77%
227,06.12.2017,3.8506,3.8438,3.864,3.8385,0.16%
226,07.12.2017,3.8631,3.8507,3.874,3.8465,0.32%
225,08.12.2017,3.8388,3.8594,3.8746,3.8237,-0.63%
224,11.12.2017,3.8367,3.8387,3.84,3.814,-0.05%
223,12.12.2017,3.8479,3.838,3.8609,3.8213,0.29%
222,13.12.2017,3.8119,3.8479,3.8655,3.8083,-0.94%
221,14.12.2017,3.8869,3.8114,3.8972,3.8076,1.97%
220,15.12.2017,3.8617,3.8889,3.8902,3.8478,-0.65%
219,18.12.2017,3.83,3.8628,3.8706,3.8203,-0.82%
218,19.12.2017,3.8336,3.8297,3.8455,3.8198,0.09%
217,20.12.2017,3.8203,3.8331,3.8453,3.8133,-0.35%
216,21.12.2017,3.8175,3.8192,3.8342,3.8138,-0.07%
215,22.12.2017,3.8157,3.8182,3.8277,3.8068,-0.05%
214,25.12.2017,3.8074,3.8097,3.82,3.791,-0.22%
213,26.12.2017,3.812,3.8091,3.82,3.7946,0.12%
212,27.12.2017,3.8156,3.811,3.8283,3.802,0.09%
211,28.12.2017,3.7749,3.816,3.8255,3.763,-1.07%
210,29.12.2017,3.79,3.7748,3.7975,3.7592,0.40%
209,01.01.2018,3.7875,3.7855,3.7974,3.7855,-0.07%
208,02.01.2018,3.7667,3.792,3.7968,3.749,-0.55%
207,03.01.2018,3.7812,3.766,3.7879,3.752,0.38%
206,04.01.2018,3.748,3.7834,3.7883,3.744,-0.88%
205,05.01.2018,3.7367,3.7496,3.7618,3.7275,-0.30%
204,08.01.2018,3.7443,3.7317,3.7576,3.7296,0.20%
203,09.01.2018,3.7679,3.7456,3.7801,3.7397,0.63%
202,10.01.2018,3.7994,3.7675,3.8092,3.7646,0.84%
201,11.01.2018,3.7741,3.7996,3.8064,3.767,-0.67%
200,12.01.2018,3.7483,3.7767,3.7847,3.7437,-0.68%
199,15.01.2018,3.8007,3.7484,3.8043,3.7429,1.40%
198,16.01.2018,3.798,3.8011,3.8359,3.7835,-0.07%
197,17.01.2018,3.8182,3.7971,3.8339,3.7905,0.53%
196,18.01.2018,3.7701,3.8161,3.8226,3.755,-1.26%
195,19.01.2018,3.8065,3.7708,3.8177,3.7585,0.97%
194,22.01.2018,3.775,3.8316,3.8491,3.7695,-0.83%
193,23.01.2018,3.7673,3.776,3.8049,3.7638,-0.20%
192,24.01.2018,3.7384,3.767,3.7754,3.7298,-0.77%
191,25.01.2018,3.7525,3.7379,3.7609,3.7126,0.38%
190,26.01.2018,3.7548,3.7517,3.7662,3.7252,0.06%
189,29.01.2018,3.7934,3.7539,3.7973,3.7408,1.03%
188,30.01.2018,3.781,3.7929,3.8,3.7584,-0.33%
187,31.01.2018,3.7555,3.7811,3.7837,3.7441,-0.67%
186,01.02.2018,3.7315,3.7547,3.7724,3.726,-0.64%
185,02.02.2018,3.7734,3.7336,3.7786,3.729,1.12%
184,05.02.2018,3.79,3.7688,3.792,3.7525,0.44%
183,06.02.2018,3.7695,3.7895,3.7964,3.7605,-0.54%
182,07.02.2018,3.8047,3.7697,3.8077,3.7605,0.93%
181,08.02.2018,3.8216,3.8047,3.836,3.7885,0.44%
180,09.02.2018,3.8226,3.8213,3.8456,3.8035,0.03%
179,12.02.2018,3.7997,3.8209,3.829,3.7945,-0.60%
178,13.02.2018,3.8106,3.8002,3.8134,3.7875,0.29%
177,14.02.2018,3.7824,3.8123,3.8253,3.7778,-0.74%
176,15.02.2018,3.7644,3.7826,3.7866,3.7619,-0.48%
175,16.02.2018,3.7474,3.7644,3.773,3.7345,-0.45%
174,19.02.2018,3.7573,3.7465,3.7642,3.7418,0.26%
173,20.02.2018,3.7984,3.7569,3.8136,3.7565,1.09%
172,21.02.2018,3.7891,3.7971,3.8104,3.774,-0.24%
171,22.02.2018,3.7843,3.7866,3.8112,3.7782,-0.13%
170,23.02.2018,3.7905,3.7845,3.7965,3.776,0.16%
169,26.02.2018,3.7864,3.7879,3.7985,3.7729,-0.11%
168,27.02.2018,3.8155,3.7852,3.816,3.778,0.77%
167,28.02.2018,3.7988,3.8151,3.8169,3.7925,-0.44%
166,01.03.2018,3.8056,3.7996,3.821,3.7939,0.18%
165,02.03.2018,3.8071,3.8057,3.8252,3.799,0.04%
164,05.03.2018,3.8084,3.8074,3.8296,3.8038,0.03%
163,06.03.2018,3.7942,3.8078,3.8131,3.7827,-0.37%
162,07.03.2018,3.8027,3.7929,3.8098,3.7876,0.22%
161,08.03.2018,3.8236,3.7994,3.8285,3.7977,0.55%
160,09.03.2018,3.8111,3.8238,3.829,3.8,-0.33%
159,12.03.2018,3.8438,3.8102,3.8525,3.8037,0.86%
158,13.03.2018,3.8733,3.8439,3.8754,3.8325,0.77%
157,14.03.2018,3.8796,3.8731,3.8954,3.8524,0.16%
156,15.03.2018,3.8956,3.8791,3.907,3.8721,0.41%
155,16.03.2018,3.9196,3.8955,3.9266,3.8875,0.62%
154,19.03.2018,3.9362,3.9119,3.9546,3.9119,0.42%
153,20.03.2018,3.9339,3.9356,3.9535,3.918,-0.06%
152,21.03.2018,3.9085,3.935,3.9407,3.9062,-0.65%
151,22.03.2018,3.9343,3.9097,3.9458,3.8969,0.66%
150,23.03.2018,3.9824,3.9311,4.0356,3.9311,1.22%
149,26.03.2018,3.9657,3.9803,3.9963,3.9524,-0.42%
148,27.03.2018,3.9819,3.9657,3.9981,3.9579,0.41%
147,28.03.2018,4.0103,3.9822,4.0169,3.9772,0.71%
146,29.03.2018,3.9422,4.008,4.0163,3.9325,-1.70%
145,30.03.2018,3.9552,3.9426,3.9613,3.937,0.33%
144,02.04.2018,3.9735,3.9542,3.9808,3.9496,0.46%
143,03.04.2018,3.9887,3.9719,3.995,3.967,0.38%
142,04.04.2018,3.9991,3.9894,4.029,3.9832,0.26%
141,05.04.2018,4.0515,3.997,4.0538,3.9942,1.31%
140,06.04.2018,4.0449,4.0531,4.068,4.0263,-0.16%
139,09.04.2018,4.0737,4.041,4.0761,4.0315,0.71%
138,10.04.2018,4.1121,4.0715,4.1393,4.053,0.94%
137,11.04.2018,4.136,4.112,4.195,4.1067,0.58%
136,12.04.2018,4.1102,4.1308,4.1615,4.0813,-0.62%
135,13.04.2018,4.0969,4.1097,4.1173,4.065,-0.32%
134,16.04.2018,4.0963,4.0984,4.1213,4.0865,-0.01%
133,17.04.2018,4.0976,4.0967,4.1266,4.0697,0.03%
132,18.04.2018,4.0086,4.0941,4.1086,4.0037,-2.17%
131,19.04.2018,4.0403,4.0078,4.05,4.0055,0.79%
130,20.04.2018,4.0766,4.0398,4.079,4.0225,0.90%
129,23.04.2018,4.1079,4.0766,4.111,4.0614,0.77%
128,24.04.2018,4.086,4.1077,4.1144,4.0775,-0.53%
127,25.04.2018,4.0809,4.0866,4.1116,4.0325,-0.12%
126,26.04.2018,4.0664,4.0813,4.0863,4.0545,-0.36%
125,27.04.2018,4.0422,4.0659,4.08,4.035,-0.60%
124,30.04.2018,4.0617,4.0441,4.074,4.0245,0.48%
123,01.05.2018,4.103,4.061,4.1254,4.053,1.02%
122,02.05.2018,4.1771,4.1028,4.1876,4.0886,1.81%
121,03.05.2018,4.2131,4.1772,4.245,4.1522,0.86%
120,04.05.2018,4.226,4.2153,4.2921,4.2137,0.31%
119,07.05.2018,4.2669,4.226,4.2729,4.221,0.97%
118,08.05.2018,4.3327,4.2664,4.3382,4.2565,1.54%
117,09.05.2018,4.2876,4.329,4.3746,4.251,-1.04%
116,10.05.2018,4.2352,4.2871,4.3084,4.2197,-1.22%
115,11.05.2018,4.3136,4.2347,4.318,4.2261,1.85%
114,14.05.2018,4.3674,4.3139,4.3714,4.3,1.25%
113,15.05.2018,4.445,4.3689,4.477,4.347,1.78%
112,16.05.2018,4.4139,4.443,4.5015,4.39,-0.70%
111,17.05.2018,4.4606,4.411,4.4674,4.4095,1.06%
110,18.05.2018,4.4917,4.457,4.506,4.4365,0.70%
109,21.05.2018,4.5749,4.4902,4.6,4.4864,1.85%
108,22.05.2018,4.6691,4.5744,4.6738,4.5375,2.06%
107,23.05.2018,4.5762,4.666,4.9241,4.5395,-1.99%
106,24.05.2018,4.7073,4.5763,4.8032,4.538,2.86%
105,25.05.2018,4.7081,4.709,4.803,4.6818,0.02%
104,27.05.2018,4.7055,4.7171,4.7178,4.6986,-0.06%
103,28.05.2018,4.5822,4.713,4.7214,4.5495,-2.62%
102,29.05.2018,4.5488,4.577,4.6358,4.528,-0.73%
101,30.05.2018,4.465,4.5483,4.5641,4.441,-1.84%
100,31.05.2018,4.5245,4.459,4.5463,4.4495,1.33%
99,01.06.2018,4.6508,4.524,4.6574,4.514,2.79%
98,03.06.2018,4.6486,4.6505,4.6551,4.6456,-0.05%
97,04.06.2018,4.5921,4.6495,4.6791,4.5735,-1.22%
96,05.06.2018,4.5985,4.5903,4.6337,4.5805,0.14%
95,06.06.2018,4.5554,4.598,4.629,4.5358,-0.94%
94,07.06.2018,4.4844,4.5537,4.5872,4.451,-1.56%
93,08.06.2018,4.474,4.48,4.5404,4.4591,-0.23%
92,10.06.2018,4.4735,4.4849,4.4849,4.4691,-0.01%
91,11.06.2018,4.524,4.4774,4.542,4.461,1.13%
90,12.06.2018,4.5976,4.5229,4.5998,4.5191,1.63%
89,13.06.2018,4.6452,4.5953,4.6994,4.5812,1.04%
88,14.06.2018,4.7259,4.6319,4.7329,4.591,1.74%
87,15.06.2018,4.7301,4.7267,4.7602,4.7073,0.09%
86,17.06.2018,4.7427,4.7363,4.7448,4.7332,0.27%
85,18.06.2018,4.7042,4.7272,4.7458,4.673,-0.81%
84,19.06.2018,4.7402,4.7055,4.7763,4.686,0.77%
83,20.06.2018,4.7327,4.7319,4.7696,4.722,-0.16%
82,21.06.2018,4.7225,4.7312,4.77,4.7151,-0.22%
81,22.06.2018,4.6773,4.7185,4.7462,4.6585,-0.96%
80,24.06.2018,4.6136,4.6326,4.6612,4.5874,-1.36%
79,25.06.2018,4.681,4.66,4.7249,4.535,1.46%
78,26.06.2018,4.6155,4.6792,4.7169,4.6045,-1.40%
77,27.06.2018,4.6225,4.6168,4.659,4.5895,0.15%
76,28.06.2018,4.5853,4.6245,4.6535,4.5733,-0.80%
75,29.06.2018,4.5872,4.583,4.6111,4.5445,0.04%
74,01.07.2018,4.5957,4.6038,4.6052,4.5933,0.19%
73,02.07.2018,4.6161,4.5908,4.6448,4.5813,0.44%
72,03.07.2018,4.6705,4.6175,4.6881,4.608,1.18%
71,04.07.2018,4.6667,4.672,4.7234,4.659,-0.08%
70,05.07.2018,4.5925,4.6692,4.689,4.5813,-1.59%
69,06.07.2018,4.5704,4.5935,4.6198,4.5684,-0.48%
68,08.07.2018,4.5794,4.5819,4.5907,4.5769,0.20%
67,09.07.2018,4.7338,4.5694,4.7488,4.506,3.37%
66,10.07.2018,4.7077,4.7358,4.7588,4.6448,-0.55%
65,11.07.2018,4.8762,4.7035,4.8789,4.6923,3.58%
64,12.07.2018,4.8552,4.8735,4.9721,4.7792,-0.43%
63,13.07.2018,4.8552,4.8545,4.8753,4.8066,0.00%
62,15.07.2018,4.8567,4.8632,4.8651,4.8458,0.03%
61,16.07.2018,4.8463,4.8435,4.868,4.818,-0.21%
60,17.07.2018,4.8065,4.845,4.8606,4.7755,-0.82%
59,18.07.2018,4.7953,4.8075,4.8473,4.7625,-0.23%
58,19.07.2018,4.8066,4.797,4.8453,4.7875,0.24%
57,20.07.2018,4.7927,4.8065,4.8269,4.763,-0.29%
56,22.07.2018,4.7803,4.7854,4.7873,4.7782,-0.26%
55,23.07.2018,4.7395,4.7939,4.797,4.7305,-0.85%
54,24.07.2018,4.8861,4.7415,4.9403,4.7345,3.09%
53,25.07.2018,4.7728,4.8883,4.8924,4.7728,-2.32%
52,26.07.2018,4.8649,4.7705,4.8845,4.766,1.93%
51,27.07.2018,4.8529,4.8644,4.883,4.834,-0.25%
50,29.07.2018,4.8572,4.8554,4.8584,4.8544,0.09%
49,30.07.2018,4.8823,4.8459,4.9104,4.8407,0.52%
48,31.07.2018,4.9142,4.8845,4.9324,4.8734,0.65%
47,01.08.2018,4.995,4.9136,5.0183,4.9086,1.64%
46,02.08.2018,5.066,4.9924,5.0944,4.9591,1.42%
45,03.08.2018,5.0815,5.0655,5.1135,5.0528,0.31%
44,05.08.2018,5.1007,5.0909,5.1129,5.0909,0.38%
43,06.08.2018,5.3301,5.0798,5.4265,5.0798,4.50%
42,07.08.2018,5.2443,5.3275,5.3696,5.1725,-1.61%
41,08.08.2018,5.28,5.231,5.3112,5.22,0.68%
40,09.08.2018,5.5457,5.284,5.572,5.2777,5.03%
39,10.08.2018,6.4275,5.545,6.802,5.53,15.90%
38,12.08.2018,6.8274,7.1289,7.1326,6.5758,6.22%
37,13.08.2018,6.8834,6.4362,7.2393,6.4362,0.82%
36,14.08.2018,6.3544,6.8868,6.9668,6.2804,-7.69%
35,15.08.2018,5.9905,6.3401,6.5955,5.86,-5.73%
34,16.08.2018,5.827,5.928,6.041,5.6675,-2.73%
33,17.08.2018,6.014,5.82,6.3416,5.718,3.21%
32,19.08.2018,6.0084,6.0126,6.0126,5.9797,-0.09%
31,20.08.2018,6.0808,6.028,6.2,5.952,1.20%
30,21.08.2018,6.0758,6.1055,6.1796,6.0171,-0.08%
29,22.08.2018,6.0512,6.0719,6.1368,6.0218,-0.40%
28,23.08.2018,6.1247,6.0564,6.1909,6.0277,1.21%
27,24.08.2018,6.0068,6.0968,6.1357,5.9811,-1.92%
26,26.08.2018,5.9844,5.9999,6.0023,5.9818,-0.37%
25,27.08.2018,6.1217,6.0058,6.2978,5.9629,2.29%
24,28.08.2018,6.273,6.1456,6.313,6.1075,2.47%
23,29.08.2018,6.4752,6.3026,6.5138,6.2447,3.22%
22,30.08.2018,6.6519,6.452,6.835,6.4021,2.73%
21,31.08.2018,6.538,6.674,6.8125,6.3765,-1.71%
20,02.09.2018,6.5835,6.5705,6.5936,6.5568,0.70%
19,03.09.2018,6.634,6.5299,6.7324,6.489,0.77%
18,04.09.2018,6.6711,6.62,6.7251,6.5654,0.56%
17,05.09.2018,6.6011,6.6753,6.7419,6.5789,-1.05%
16,06.09.2018,6.5827,6.6105,6.6589,6.5339,-0.28%
15,07.09.2018,6.397,6.581,6.6201,6.3615,-2.82%
14,09.09.2018,6.4222,6.4026,6.4226,6.3981,0.39%
13,10.09.2018,6.4616,6.396,6.5071,6.3793,0.61%
12,11.09.2018,6.4302,6.4706,6.5003,6.4134,-0.49%
11,12.09.2018,6.342,6.427,6.4821,6.311,-1.37%
10,13.09.2018,6.0812,6.3549,6.5653,5.9989,-4.11%
9,14.09.2018,6.1703,6.064,6.1911,5.982,1.47%
8,16.09.2018,6.1628,6.1683,6.1707,6.1595,-0.12%
7,17.09.2018,6.3144,6.1809,6.3292,6.1363,2.46%
6,18.09.2018,6.3846,6.3258,6.4803,6.3064,1.11%
5,19.09.2018,6.2493,6.3887,6.4204,6.2119,-2.12%
4,20.09.2018,6.196,6.2639,6.3907,6.118,-0.85%
